filepath,filename,width,height,n_pixels,n_unique_colors,file_size_bytes,entropy_bits,O_rank_by_entropy
.\data\images\Black_bench_near_blue_ocean_under_blue_sky.jpg,Black_bench_near_blue_ocean_under_blue_sky.jpg,640,427,273280,64397,77362,14.178206874462044,136
.\data\images\City_of_London._Night_time_lights.jpg,City_of_London._Night_time_lights.jpg,640,594,380160,108520,125763,14.191722698158397,137
.\data\images\Pirogue_running_from_the_Nam_Khan_river_to_the_Mekong_a_sunny_day_in_Luang_Prabang_Laos.jpg,Pirogue_running_from_the_Nam_Khan_river_to_the_Mekong_a_sunny_day_in_Luang_Prabang_Laos.jpg,640,400,256000,67706,69557,14.199923713315364,138
.\data\images\640px-St._Petersburg_church.jpg,640px-St._Petersburg_church.jpg,640,852,545280,144711,210915,14.204152082495348,139
".\data\images\Clouds_and_blue_sky,_Magheragart_-_geograph.org.uk_-_6587153.jpg","Clouds_and_blue_sky,_Magheragart_-_geograph.org.uk_-_6587153.jpg",640,428,273920,62033,96112,14.261388783188512,140
.\data\images\Busy_crowd_on_Market_Place_at_St_Albans_Market.jpg,Busy_crowd_on_Market_Place_at_St_Albans_Market.jpg,640,480,307200,82694,117120,14.2940493829442,141
.\data\images\640px-Panorama_City_at_Night_l_Kuala_Lumpur._Malaysia_(8456604898).jpg,640px-Panorama_City_at_Night_l_Kuala_Lumpur._Malaysia_(8456604898).jpg,640,198,126720,48469,46536,14.310916438543178,142
".\data\images\Pershing_Square,_Los_Angeles_(24326878745).jpg","Pershing_Square,_Los_Angeles_(24326878745).jpg",640,427,273280,96484,108187,14.320045361810813,143
".\data\images\640px-Maine_Route_103_York_River_Bridge,_NEXT_Beams.jpg","640px-Maine_Route_103_York_River_Bridge,_NEXT_Beams.jpg",640,480,307200,61929,93219,14.363769125793725,144
.\data\images\Shalom_Shalome_Apartment_(Close_Up_of_Facade).jpg,Shalom_Shalome_Apartment_(Close_Up_of_Facade).jpg,640,400,256000,58242,99814,14.389437551696005,145
.\data\images\HK_WCN_Wan_Chai_North_Gloucester_Road_office_building_facade_華潤大廈_China_Resources_Building_night_November_2025.jpg,HK_WCN_Wan_Chai_North_Gloucester_Road_office_building_facade_華潤大廈_China_Resources_Building_night_November_2025.jpg,640,481,307840,103623,130879,14.40471553684796,146
".\data\images\St_Patrick_Day's_Crowd_in_Market_Street,_Downpatrick_-_geograph.org.uk_-_2853323.jpg","St_Patrick_Day's_Crowd_in_Market_Street,_Downpatrick_-_geograph.org.uk_-_2853323.jpg",640,441,282240,83079,94620,14.4139187298982,147
.\data\images\Sen._Marsha_Blackburn_(R-TN)_official_headshot_-_116th_Congress_(alt_crop).jpg,Sen._Marsha_Blackburn_(R-TN)_official_headshot_-_116th_Congress_(alt_crop).jpg,640,800,512000,67508,158807,14.423051207805443,148
.\data\images\Namdaemun_market_in_Seoul_I.jpg,Namdaemun_market_in_Seoul_I.jpg,640,480,307200,87379,111090,14.469853056507654,149
